"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"3247",65.647499,65.794998,65.209999,65.445,65325200,64.310562
"3248",65.677498,66.610001,65.629997,66.592499,84020400,65.438171
"3249",66.735001,66.790001,65.625,66.072502,105207600,64.927177
"3250",66.394997,66.995003,66.327499,66.959999,65235600,65.799294
"3251",66.650002,67,66.474998,66.8125,46617600,65.654366
"3252",66.817497,67.0625,65.862503,66.040001,94487200,64.895256
"3253",64.577499,64.8825,64.072502,64.862503,114430400,63.738159
"3254",65.267502,65.827499,65.169998,65.434998,67181600,64.300728
"3255",65.947502,66.472504,65.682503,66.394997,74424400,65.244087
"3256",66.870003,67.75,66.824997,67.677498,106075600,66.504349
"3257",67.5,67.699997,66.227501,66.730003,128042400,65.573288
"3258",67.150002,67.517502,66.464996,67.120003,90420400,65.956528
"3259",67.202499,67.775002,67.125,67.692497,78756800,66.519104
"3260",66.945,68.139999,66.830002,67.864998,137310400,66.688606
"3261",67.864998,68.824997,67.732498,68.787498,133587600,67.595131
"3262",69.25,70.197502,69.245003,69.964996,128186000,68.752197
"3263",69.892502,70.442497,69.699997,70.102501,114158400,68.887337
"3264",69.949997,70.474998,69.779999,69.934998,116028400,68.722717
"3265",69.875,70.294998,69.737503,70.004997,98369200,68.791519
"3266",70.557503,70.662498,69.639999,69.860001,275978000,68.649033
"3267",70.1325,71.0625,70.092499,71,98572000,69.769264
"3268",71.172501,71.222504,70.730003,71.067497,48478800,69.835587
"3269",71.205002,72.495003,71.175003,72.477501,93121200,71.221153
"3270",72.779999,73.4925,72.029999,72.449997,146266000,71.19413
"3271",72.364998,73.172501,71.305,72.879997,144114400,71.616684
"3272",72.482498,73.419998,72.379997,73.412498,100805600,72.139946
"3273",74.059998,75.150002,73.797501,75.087502,135480400,73.785927
"3274",74.287498,75.144997,74.125,74.357498,146322800,73.068558
"3275",73.447502,74.989998,73.1875,74.949997,118387200,73.650795
"3276",74.959999,75.224998,74.370003,74.597504,108872000,73.304413
"3277",74.290001,76.110001,74.290001,75.797501,132079200,74.483612
"3278",76.809998,77.607498,76.550003,77.407501,170108400,76.065697
"3279",77.650002,78.167503,77.0625,77.582497,140644800,76.237663
"3280",77.910004,79.267502,77.787498,79.239998,121532000,77.866447
"3281",79.175003,79.392502,78.042503,78.169998,161954400,76.814972
"3282",77.962502,78.875,77.387497,77.834999,121923600,76.485794
"3283",78.397499,78.925003,78.022499,78.809998,108829200,77.443886
"3284",79.067497,79.684998,78.75,79.682503,137816400,78.30127
"3285",79.297501,79.754997,79,79.142502,110843200,77.77063
"3286",79.644997,79.997498,79.327499,79.425003,101832400,78.048233
"3287",79.480003,79.889999,78.912498,79.807503,104472000,78.424095
"3288",80.0625,80.832497,79.379997,79.577499,146537600,78.198097
"3289",77.514999,77.942497,76.220001,77.237503,161940000,75.898636
"3290",78.150002,79.599998,78.047501,79.422501,162234000,78.045776
"3291",81.112503,81.962502,80.345001,81.084999,216229200,79.679451
"3292",80.135002,81.022499,79.6875,80.967499,126743200,79.563995
"3293",80.232498,80.669998,77.072502,77.377502,199588400,76.036232
"3294",76.074997,78.372498,75.555,77.165001,173788400,75.8274
"3295",78.827499,79.910004,78.407501,79.712502,136616400,78.330742
"3296",80.879997,81.190002,79.737503,80.362503,118826800,78.969482
"3297",80.642502,81.305,80.065002,81.302498,105425600,79.893181
"3298",80.592499,80.849998,79.5,80.0075,117684000,78.80722
"3299",78.544998,80.387497,78.462502,80.387497,109348800,79.181503
"3300",80.900002,80.974998,79.677498,79.902496,94323200,78.703789
"3301",80.3675,81.805,80.3675,81.800003,113730400,80.572823
"3302",81.047501,81.555,80.837502,81.217499,94747600,79.999069
"3303",81.184998,81.495003,80.712502,81.237503,80113600,80.018761
"3304",78.839996,79.9375,78.652496,79.75,152531200,78.553581
"3305",80,81.142502,80,80.904999,93984000,79.691254
"3306",80.657501,81.162498,79.552498,80.074997,100566000,78.873703
"3307",79.654999,80.112503,77.625,78.262497,129554000,77.088394
"3308",74.315002,76.044998,72.307503,74.544998,222195200,73.426666
"3309",75.237503,75.6325,71.532501,72.019997,230673600,70.939552
"3310",71.6325,74.470001,71.625,73.162498,198054800,72.064919
"3311",70.275002,71.5,68.239998,68.379997,320605600,67.354156
"3312",64.315002,69.602501,64.092499,68.339996,426510000,67.314766
"3313",70.57,75.360001,69.43,74.702499,341397200,73.581802
"3314",75.917503,76,71.449997,72.330002,319475600,71.244904
"3315",74.110001,75.849998,73.282501,75.684998,219178400,74.549568
